step,time_s,x,y,x_dot,y_dot,theta,theta_dot,leg_contact_left,leg_contact_right,goal_x,goal_y,goal_theta,main_engine_thrust,side_engine_thrust,nozzle_angle,main_engine_thrust_raw,side_engine_thrust_raw,nozzle_angle_raw,reward,terminated,truncated,next_x,next_y,next_x_dot,next_y_dot,next_theta,next_theta_dot,next_leg_contact_left,next_leg_contact_right
10,0.16666666666666666,16.65594482421875,24.267681121826172,-0.13601258397102356,-1.7987149953842163,0.00643514608964324,0.07757097482681274,False,False,15.0,7.4796546662204,0.0,0.0,-0.9951281440444293,0.8159207718404942,-12517.060592831178,-0.9951281440444293,0.8159207718404942,-0.050874784526887415,False,False,16.65345001220703,24.23497200012207,-0.1495470106601715,-1.9623358249664307,0.007856199517846107,0.08529040962457657,False,False
11,0.18333333333333332,16.65345001220703,24.23497200012207,-0.1495470106601715,-1.9623358249664307,0.007856199517846107,0.08529040962457657,False,False,15.0,7.4796546662204,0.0,0.0,-0.9229701440781357,0.8974815984982998,-12335.494719148546,-0.9229701440781357,0.8974815984982998,-0.05473518134326581,False,False,16.65074920654297,24.199535369873047,-0.16209986805915833,-2.1259779930114746,0.009396757930517197,0.0924500823020935,False,False
12,0.2,16.65074920654297,24.199535369873047,-0.16209986805915833,-2.1259779930114746,0.009396757930517197,0.0924500823020935,False,False,15.0,7.4796546662204,0.0,0.0,-0.8545450814068318,0.9731470927111806,-12150.555162357034,-0.8545450814068318,0.9731470927111806,-0.05759681644318061,False,False,16.64785385131836,24.161373138427734,-0.1737218052148819,-2.2896411418914795,0.0110478475689888,0.09907896816730499,False,False
13,0.21666666666666667,16.64785385131836,24.161373138427734,-0.1737218052148819,-2.2896411418914795,0.0110478475689888,0.09907896816730499,False,False,15.0,7.4796546662204,0.0,0.0,-0.7896746382117272,1.0,-11962.40165396312,-0.7896746382117272,1.043222181208432,-0.05951364306752805,False,False,16.644777297973633,24.120485305786133,-0.18446111679077148,-2.4533238410949707,0.012801049277186394,0.10520461201667786,False,False
14,0.23333333333333334,16.644777297973633,24.120485305786133,-0.18446111679077148,-2.4533238410949707,0.012801049277186394,0.10520461201667786,False,False,15.0,7.4796546662204,0.0,0.0,-0.7281910393387082,1.0,-11771.203420054197,-0.7281910393387082,1.1079967459645124,-0.060531820127070764,False,False,16.641538619995117,24.076868057250977,-0.19436384737491608,-2.6170246601104736,0.014648483134806156,0.11085329204797745,False,False
15,0.25,16.641538619995117,24.076868057250977,-0.19436384737491608,-2.6170246601104736,0.014648483134806156,0.11085329204797745,False,False,15.0,7.4796546662204,0.0,0.0,-0.6699398351833226,1.0,-11577.16183789234,-0.6699398351833226,1.1677473521726207,-0.06069940879353555,False,False,16.638147354125977,24.030521392822266,-0.20347392559051514,-2.7807424068450928,0.016582582145929337,0.1160501018166542,False,False
16,0.26666666666666666,16.638147354125977,24.030521392822266,-0.20347392559051514,-2.7807424068450928,0.016582582145929337,0.1160501018166542,False,False,15.0,7.4796546662204,0.0,0.0,-0.6147651217877864,1.0,-11380.409973623484,-0.6147651217877864,1.222738093648106,-0.06007374409175191,False,False,16.63461685180664,23.981447219848633,-0.21183311939239502,-2.944474697113037,0.018596230074763298,0.12081890553236008,False,False
17,0.2833333333333333,16.63461685180664,23.981447219848633,-0.21183311939239502,-2.944474697113037,0.018596230074763298,0.12081890553236008,False,False,15.0,7.4796546662204,0.0,0.0,-0.5625225249677896,1.0,-11181.10604092845,-0.5625225249677896,1.273220132922754,-0.0586622933524842,False,False,16.630958557128906,23.929643630981445,-0.21948125958442688,-3.108219623565674,0.02068248763680458,0.12518243491649628,False,False
18,0.3,16.630958557128906,23.929643630981445,-0.21948125958442688,-3.108219623565674,0.02068248763680458,0.12518243491649628,False,False,15.0,7.4796546662204,0.0,0.0,-0.5130739979445937,1.0,-10979.387532271032,-0.5130739979445937,1.3194326998181642,-0.056551544287782,False,False,16.62718391418457,23.875110626220703,-0.22645631432533264,-3.271975040435791,0.02283516898751259,0.12916237115859985,False,False
19,0.31666666666666665,16.62718391418457,23.875110626220703,-0.22645631432533264,-3.271975040435791,0.02283516898751259,0.12916237115859985,False,False,15.0,7.4796546662204,0.0,0.0,-0.46628626510500926,1.0,-10775.389731584504,-0.46628626510500926,1.361604005087167,-0.05375661975756452,False,False,16.62330436706543,23.817848205566406,-0.23279449343681335,-3.435739278793335,0.02504819817841053,0.1327793449163437,False,False
20,0.3333333333333333,16.62330436706543,23.817848205566406,-0.23279449343681335,-3.435739278793335,0.02504819817841053,0.1327793449163437,False,False,15.0,7.4796546662204,0.0,0.0,-0.4220339145511389,1.0,-10569.24338707828,-0.4220339145511389,1.399951185712591,-0.05030147303497165,False,False,16.61932945251465,23.757856369018555,-0.2385302037000656,-3.5995097160339355,0.027315709739923477,0.13605304062366486,False,False
21,0.35,16.61932945251465,23.757856369018555,-0.2385302037000656,-3.5995097160339355,0.027315709739923477,0.13605304062366486,False,False,15.0,7.4796546662204,0.0,0.0,-0.38019641563296336,1.0,-10361.063825428166,-0.38019641563296336,1.4346814139075577,-0.04623464083600162,False,False,16.61526870727539,23.69513511657715,-0.24369628727436066,-3.763284921646118,0.029632283374667168,0.13900217413902283,False,False
22,0.36666666666666664,16.61526870727539,23.69513511657715,-0.24369628727436066,-3.763284921646118,0.029632283374667168,0.13900217413902283,False,False,15.0,7.4796546662204,0.0,0.0,-0.3406587008386852,1.0,-10150.961804941806,-0.3406587008386852,1.4659916812535376,-0.041602592469567636,False,False,16.611129760742188,23.629684448242188,-0.24832402169704437,-3.9270622730255127,0.03199293836951256,0.14164459705352783,False,False
23,0.38333333333333336,16.611129760742188,23.629684448242188,-0.24832402169704437,-3.9270622730255127,0.03199293836951256,0.14164459705352783,False,False,15.0,7.4796546662204,0.0,0.0,-0.30330866053700456,1.0,-9939.033872338086,-0.30330866053700456,1.4940698986761274,-0.03643005311805393,False,False,16.606922149658203,23.561504364013672,-0.2524431347846985,-4.090839862823486,0.03439290076494217,0.14399726688861847,False,False
24,0.4,16.606922149658203,23.561504364013672,-0.2524431347846985,-4.090839862823486,0.03439290076494217,0.14399726688861847,False,False,15.0,7.4796546662204,0.0,0.0,-0.2680422827601432,1.0,-9725.384260596515,-0.2680422827601432,1.519094562239945,-0.030726546051832775,False,False,16.60265350341797,23.4905948638916,-0.25608208775520325,-4.2546162605285645,0.036827463656663895,0.14607636630535126,False,False
25,0.4166666666666667,16.60265350341797,23.4905948638916,-0.25608208775520325,-4.2546162605285645,0.036827463656663895,0.14607636630535126,False,False,15.0,7.4796546662204,0.0,0.0,-0.23475948199629815,1.0,-9510.10184587003,-0.23475948199629815,1.5412359989322721,-0.024554749879678858,False,False,16.598331451416016,23.416955947875977,-0.25926777720451355,-4.418389797210693,0.03929251804947853,0.14789728820323944,False,False
26,0.43333333333333335,16.598331451416016,23.416955947875977,-0.25926777720451355,-4.418389797210693,0.03929251804947853,0.14789728820323944,False,False,15.0,7.4796546662204,0.0,0.0,-0.20336379930377024,1.0,-9293.272500276693,-0.20336379930377024,1.5606562545783818,-0.017894114054866687,False,False,16.593963623046875,23.340585708618164,-0.26202595233917236,-4.582159042358398,0.04178379103541374,0.14947468042373657,False,False
27,0.45,16.593963623046875,23.340585708618164,-0.26202595233917236,-4.582159042358398,0.04178379103541374,0.14947468042373657,False,False,15.0,7.4796546662204,0.0,0.0,-0.17376544252037984,1.0,-9074.977094069536,-0.17376544252037984,1.5775095007084312,-0.010805364099979106,False,False,16.589557647705078,23.261486053466797,-0.2643811106681824,-4.745922088623047,0.04429744929075241,0.1508224457502365,False,False
28,0.4666666666666667,16.589557647705078,23.261486053466797,-0.2643811106681824,-4.745922088623047,0.04429744929075241,0.1508224457502365,False,False,15.0,7.4796546662204,0.0,0.0,-0.14587839394807833,1.0,-8855.296586387301,-0.14587839394807833,1.5919420858547093,-0.0033232086198264543,False,False,16.585119247436523,23.179658889770508,-0.26635652780532837,-4.909677505493164,0.046829983592033386,0.15195389091968536,False,False
29,0.48333333333333334,16.585119247436523,23.179658889770508,-0.26635652780532837,-4.909677505493164,0.046829983592033386,0.15195389091968536,False,False,15.0,7.4796546662204,0.0,0.0,-0.11961815059185033,1.0,-8634.297941808623,-0.11961815059185033,1.6040940978080036,0.004545533248533162,False,False,16.580652236938477,23.095102310180664,-0.2679744362831116,-5.073423862457275,0.04937807470560074,0.15288162231445312,False,False
30,0.5,16.580652236938477,23.095102310180664,-0.2679744362831116,-5.073423862457275,0.04937807470560074,0.15288162231445312,False,False,15.0,7.4796546662204,0.0,0.0,-0.09490280598402046,1.0,-8412.032552807686,-0.09490280598402046,1.6140982517674567,0.01279445636573883,False,False,16.57616424560547,23.007816314697266,-0.2692558169364929,-5.237160682678223,0.05193835869431496,0.15361763536930084,False,False
31,0.5166666666666667,16.57616424560547,23.007816314697266,-0.2692558169364929,-5.237160682678223,0.05193835869431496,0.15361763536930084,False,False,15.0,7.4796546662204,0.0,0.0,-0.07165965959429754,1.0,-8188.570083523751,-0.07165965959429754,1.6220808136351406,0.021368886867797532,False,False,16.5716609954834,22.917800903320312,-0.2702208161354065,-5.400885581970215,0.05450800806283951,0.154173344373703,False,False
32,0.5333333333333333,16.5716609954834,22.917800903320312,-0.2702208161354065,-5.400885581970215,0.05450800806283951,0.154173344373703,False,False,15.0,7.4796546662204,0.0,0.0,-0.049815909564495,1.0,-7963.968614338055,-0.049815909564495,1.6281619638279081,0.03027749014946789,False,False,16.56714630126953,22.825057983398438,-0.27088847756385803,-5.564598083496094,0.057084012776613235,0.15455958247184753,False,False
33,0.55,16.56714630126953,22.825057983398438,-0.27088847756385803,-5.564598083496094,0.057084012776613235,0.15455958247184753,False,False,15.0,7.4796546662204,0.0,0.0,-0.029302569478750318,1.0,-7738.274199582156,-0.029302569478750318,1.6324557361640037,0.03950011190957457,False,False,16.562625885009766,22.729585647583008,-0.27127698063850403,-5.728298187255859,0.05966367945075035,0.15478672087192535,False,False
34,0.5666666666666667,16.562625885009766,22.729585647583008,-0.27127698063850403,-5.728298187255859,0.05966367945075035,0.15478672087192535,False,False,15.0,7.4796546662204,0.0,0.0,-0.010054785758256912,1.0,-7511.536447874242,-0.010054785758256912,1.6350713179521263,0.04897094280362808,False,False,16.558101654052734,22.631385803222656,-0.27140355110168457,-5.891984462738037,0.062244825065135956,0.15486456453800201,False,False
35,0.5833333333333334,16.558101654052734,22.631385803222656,-0.27140355110168457,-5.891984462738037,0.062244825065135956,0.15486456453800201,False,False,15.0,7.4796546662204,0.0,0.0,0.007994119822978929,1.0,-7283.788833858793,0.007994119822978929,1.6361119660064578,0.05871779230464165,False,False,16.553579330444336,22.530458450317383,-0.27128466963768005,-6.0556559562683105,0.06482502818107605,0.15480241179466248,False,False
36,0.6,16.553579330444336,22.530458450317383,-0.27128466963768005,-6.0556559562683105,0.06482502818107605,0.15480241179466248,False,False,15.0,7.4796546662204,0.0,0.0,0.024901884794235052,1.0,-7055.078695914224,0.024901884794235052,1.6356755718290805,0.0687524744820704,False,False,16.54906463623047,22.426803588867188,-0.2709357738494873,-6.2193121910095215,0.06740172952413559,0.1546090841293335,False,False
37,0.6166666666666667,16.54906463623047,22.426803588867188,-0.2709357738494873,-6.2193121910095215,0.06740172952413559,0.1546090841293335,False,False,15.0,7.4796546662204,0.0,0.0,0.04072144478559503,1.0,-6825.449875088826,0.04072144478559503,1.63385498457402,0.07898032264970038,False,False,16.544557571411133,22.32042121887207,-0.2703718841075897,-6.38295316696167,0.06997331231832504,0.15429304540157318,False,False
38,0.6333333333333333,16.544557571411133,22.32042121887207,-0.2703718841075897,-6.38295316696167,0.06997331231832504,0.15429304540157318,False,False,15.0,7.4796546662204,0.0,0.0,0.055513523519039154,1.0,-6594.919020429692,0.055513523519039154,1.6307393605336549,0.08944348083728414,False,False,16.540063858032227,22.21131134033203,-0.2696070075035095,-6.546578884124756,0.07253770530223846,0.15386226773262024,False,False
39,0.65,16.540063858032227,22.21131134033203,-0.2696070075035095,-6.546578884124756,0.07253770530223846,0.15386226773262024,False,False,15.0,7.4796546662204,0.0,0.0,0.0693266838788984,1.0,-6363.525519787054,0.0693266838788984,1.626412629529834,0.1001102183603166,False,False,16.535585403442383,22.09947395324707,-0.26865440607070923,-6.710186958312988,0.07509315758943558,0.15332433581352234,False,False
40,0.6666666666666666,16.535585403442383,22.09947395324707,-0.26865440607070923,-6.710186958312988,0.07509315758943558,0.15332433581352234,False,False,15.0,7.4796546662204,0.0,0.0,0.08221168667078005,1.0,-6131.292600409608,0.08221168667078005,1.6209546612277628,0.11096783534403426,False,False,16.531126022338867,21.98491096496582,-0.26752686500549316,-6.873778343200684,0.0776379406452179,0.1526864469051361,False,False
41,0.6833333333333333,16.531126022338867,21.98491096496582,-0.26752686500549316,-6.873778343200684,0.0776379406452179,0.1526864469051361,False,False,15.0,7.4796546662204,0.0,0.0,0.09421460032463091,1.0,-5898.248247255111,0.09421460032463091,1.6144412398040295,0.1220072573508255,False,False,16.526689529418945,21.86762237548828,-0.26623642444610596,-7.037353515625,0.08017047494649887,0.15195545554161072,False,False
42,0.7,16.526689529418945,21.86762237548828,-0.26623642444610596,-7.037353515625,0.08017047494649887,0.15195545554161072,False,False,15.0,7.4796546662204,0.0,0.0,0.10537928789854067,1.0,-5664.416999534556,0.10537928789854067,1.6069445463344456,0.13321036303812114,False,False,16.522275924682617,21.74760627746582,-0.2647945284843445,-7.200911521911621,0.08268943428993225,0.15113785862922668,False,False
43,0.7166666666666667,16.522275924682617,21.74760627746582,-0.2647945284843445,-7.200911521911621,0.08268943428993225,0.15113785862922668,False,False,15.0,7.4796546662204,0.0,0.0,0.11575183272361755,1.0,-5429.8075263526935,0.11575183272361755,1.5985330104529858,0.14457423757044238,False,False,16.51788902282715,21.62486457824707,-0.26321202516555786,-7.364452362060547,0.08519335091114044,0.15023979544639587,False,False
44,0.7333333333333333,16.51788902282715,21.62486457824707,-0.26321202516555786,-7.364452362060547,0.08519335091114044,0.15023979544639587,False,False,15.0,7.4796546662204,0.0,0.0,0.12537093460559845,1.0,-5194.44305331909,0.12537093460559845,1.5892712767869235,0.15607257164819147,False,False,16.513530731201172,21.499399185180664,-0.26149922609329224,-7.5279765129089355,0.08768101036548615,0.14926712214946747,False,False
45,0.75,16.513530731201172,21.499399185180664,-0.26149922609329224,-7.5279765129089355,0.08768101036548615,0.14926712214946747,False,False,15.0,7.4796546662204,0.0,0.0,0.13427612483501417,1.0,-4958.337965638444,0.13427612483501417,1.5792210245579483,0.16769407132094477,False,False,16.50920295715332,21.37120819091797,-0.25966590642929077,-7.691483497619629,0.09015144407749176,0.14822538197040558,False,False
46,0.7666666666666667,16.50920295715332,21.37120819091797,-0.25966590642929077,-7.691483497619629,0.09015144407749176,0.14822538197040558,False,False,15.0,7.4796546662204,0.0,0.0,0.14250564277172084,1.0,-4721.503070188301,0.14250564277172084,1.5684406525343657,0.17945231394724737,False,False,16.504907608032227,21.240291595458984,-0.25772127509117126,-7.854973793029785,0.09260345995426178,0.14711979031562805,False,False
47,0.7833333333333333,16.504907608032227,21.240291595458984,-0.25772127509117126,-7.854973793029785,0.09260345995426178,0.14711979031562805,False,False,15.0,7.4796546662204,0.0,0.0,0.15009396374225625,1.0,-4483.948507454958,0.15009396374225625,1.5569850819259883,0.19132071408171622,False,False,16.500646591186523,21.106651306152344,-0.2556741237640381,-8.018446922302246,0.09503605216741562,0.14595536887645721,False,False
48,0.8,16.500646591186523,21.106651306152344,-0.2556741237640381,-8.018446922302246,0.09503605216741562,0.14595536887645721,False,False,15.0,7.4796546662204,0.0,0.0,0.15707483142614365,1.0,-4245.685177430843,0.15707483142614365,1.544907206080854,0.20330584252713238,False,False,16.496421813964844,20.970285415649414,-0.2535327672958374,-8.181903839111328,0.09744827449321747,0.14473676681518555,False,False
49,0.8166666666666667,16.496421813964844,20.970285415649414,-0.2535327672958374,-8.181903839111328,0.09744827449321747,0.14473676681518555,False,False,15.0,7.4796546662204,0.0,0.0,0.16347948014736158,1.0,-4006.718533156864,0.16347948014736158,1.532255993232131,0.21536747391541958,False,False,16.492233276367188,20.831195831298828,-0.2513050138950348,-8.345343589782715,0.09983944147825241,0.1434684544801712,False,False
50,0.8333333333333334,16.492233276367188,20.831195831298828,-0.2513050138950348,-8.345343589782715,0.09983944147825241,0.1434684544801712,False,False,15.0,7.4796546662204,0.0,0.0,0.1693406745791437,1.0,-3767.0522939290668,0.1693406745791437,1.5190785472914576,0.2275233872428546,False,False,16.488082885742188,20.689382553100586,-0.24899837374687195,-8.508768081665039,0.10220873355865479,0.142154723405838,False,False
51,0.85,16.488082885742188,20.689382553100586,-0.24899837374687195,-8.508768081665039,0.10220873355865479,0.142154723405838,False,False,15.0,7.4796546662204,0.0,0.0,0.17468717098236053,1.0,-3526.690551364137,0.17468717098236053,1.5054200742840769,0.2397687447277359,False,False,16.483972549438477,20.544845581054688,-0.2466198205947876,-8.6721773147583,0.10455537587404251,0.14079950749874115,False,False
52,0.8666666666666667,16.483972549438477,20.544845581054688,-0.2466198205947876,-8.6721773147583,0.10455537587404251,0.14079950749874115,False,False,15.0,7.4796546662204,0.0,0.0,0.1795451596379276,1.0,-3285.637332476329,0.1795451596379276,1.4913220110610128,0.2520732088486074,False,False,16.479902267456055,20.397586822509766,-0.24417608976364136,-8.835572242736816,0.10687881708145142,0.13940681517124176,False,False
53,0.8833333333333333,16.479902267456055,20.397586822509766,-0.24417608976364136,-8.835572242736816,0.10687881708145142,0.13940681517124176,False,False,15.0,7.4796546662204,0.0,0.0,0.18394401669502258,1.0,-3043.8921340336055,0.18394401669502258,1.4768265995085241,0.26444558896776416,False,False,16.475873947143555,20.247604370117188,-0.24167339503765106,-8.998950004577637,0.1091785579919815,0.13797977566719055,False,False
54,0.9,16.475873947143555,20.247604370117188,-0.24167339503765106,-8.998950004577637,0.1091785579919815,0.13797977566719055,False,False,15.0,7.4796546662204,0.0,0.0,0.18790557086467752,1.0,-2801.457503286612,0.18790557086467752,1.461966810718179,0.27689507530635593,False,False,16.47188949584961,20.094898223876953,-0.23911772668361664,-9.162315368652344,0.11145389825105667,0.1365220695734024,False,False
55,0.9166666666666666,16.47188949584961,20.094898223876953,-0.23911772668361664,-9.162315368652344,0.11145389825105667,0.1365220695734024,False,False,15.0,7.4796546662204,0.0,0.0,0.19145368486642833,1.0,-2558.3301596817428,0.19145368486642833,1.4467814153507355,0.2893731353610945,False,False,16.467947006225586,19.939470291137695,-0.23651476204395294,-9.325666427612305,0.11370457708835602,0.13503682613372803,False,False
56,0.9333333333333333,16.467947006225586,19.939470291137695,-0.23651476204395294,-9.325666427612305,0.11370457708835602,0.13503682613372803,False,False,15.0,7.4796546662204,0.0,0.0,0.19461455047130594,1.0,-2314.5060118534348,0.19461455047130594,1.431303404763341,0.3019138091595367,False,False,16.464048385620117,19.781320571899414,-0.23386971652507782,-9.48900318145752,0.11593003571033478,0.13352704048156738,False,False
57,0.95,16.464048385620117,19.781320571899414,-0.23386971652507782,-9.48900318145752,0.11593003571033478,0.13352704048156738,False,False,15.0,7.4796546662204,0.0,0.0,0.1974076956510542,1.0,-2069.9839734736615,0.1974076956510542,1.4155643301159144,0.3144949170513181,False,False,16.460195541381836,19.62044906616211,-0.231187641620636,-9.652326583862305,0.1181299239397049,0.13199558854103088,False,False
58,0.9666666666666667,16.460195541381836,19.62044906616211,-0.231187641620636,-9.652326583862305,0.1181299239397049,0.13199558854103088,False,False,15.0,7.4796546662204,0.0,0.0,0.19985277950763702,1.0,-1824.7606595080779,0.19985277950763702,1.3995945026427508,0.3271175028200938,False,False,16.456388473510742,19.45685577392578,-0.22847327589988708,-9.815637588500977,0.12030387669801712,0.13044512271881104,False,False
59,0.9833333333333333,16.456388473510742,19.45685577392578,-0.22847327589988708,-9.815637588500977,0.12030387669801712,0.13044512271881104,False,False,15.0,7.4796546662204,0.0,0.0,0.20196957737207422,1.0,-1578.8291637228194,0.20196957737207422,1.383421874202788,0.3397525916119194,False,False,16.452627182006836,19.29054069519043,-0.22573110461235046,-9.978936195373535,0.12245181202888489,0.12887834012508392,False,False
60,1.0,16.452627182006836,19.29054069519043,-0.22573110461235046,-9.978936195373535,0.12245181202888489,0.12887834012508392,False,False,15.0,7.4796546662204,0.0,0.0,0.2037792444229125,1.0,-1332.1828939604559,0.2037792444229125,1.3670748923420906,0.3524311167824705,False,False,16.448911666870117,19.121503829956055,-0.2229653000831604,-10.14222240447998,0.12457332760095596,0.12729747593402863,False,False
61,1.0166666666666666,16.448911666870117,19.121503829956055,-0.2229653000831604,-10.14222240447998,0.12457332760095596,0.12729747593402863,False,False,15.0,7.4796546662204,0.0,0.0,0.20529818683862677,1.0,-1084.8148585976278,0.20529818683862677,1.3505771039500833,0.3651129673448911,False,False,16.445241928100586,18.949745178222656,-0.22017982602119446,-10.305497169494629,0.12666840851306915,0.12570485472679138,False,False
62,1.0333333333333334,16.445241928100586,18.949745178222656,-0.22017982602119446,-10.305497169494629,0.12666840851306915,0.12570485472679138,False,False,15.0,7.4796546662204,0.0,0.0,0.20654503405094138,1.0,-836.7169758948324,0.20654503405094138,1.33395303209126,0.3778183730415502,False,False,16.441619873046875,18.775266647338867,-0.21737833321094513,-10.468761444091797,0.12873674929141998,0.12410255521535873,False,False
63,1.05,16.441619873046875,18.775266647338867,-0.21737833321094513,-10.468761444091797,0.12873674929141998,0.12410255521535873,False,False,15.0,7.4796546662204,0.0,0.0,0.20753320455551116,1.0,-587.8827939294891,0.20753320455551116,1.3172245812118053,0.3905385504030345,False,False,16.43804359436035,18.598066329956055,-0.21456441283226013,-10.632014274597168,0.13077828288078308,0.12249317765235901,False,False
64,1.0666666666666667,16.43804359436035,18.598066329956055,-0.21456441283226013,-10.632014274597168,0.13077828288078308,0.12249317765235901,False,False,15.0,7.4796546662204,0.0,0.0,0.2082841813564299,1.0,-338.3021793184879,0.2082841813564299,1.3004191782772543,0.4032545830693445,False,False,16.43451499938965,18.41814613342285,-0.21174120903015137,-10.795258522033691,0.13279294967651367,0.12087739259004593,False,False
65,1.0833333333333333,16.43451499938965,18.41814613342285,-0.21174120903015137,-10.795258522033691,0.13279294967651367,0.12087739259004593,False,False,15.0,7.4796546662204,0.0,0.0,0.208803555369377,1.0,-87.96584259991909,0.208803555369377,1.2835438925474882,0.4159868276802537,False,False,16.431032180786133,18.235504150390625,-0.20891191065311432,-10.95849323272705,0.1347806453704834,0.11925677955150604,False,False
66,1.1,16.431032180786133,18.235504150390625,-0.20891191065311432,-10.95849323272705,0.1347806453704834,0.11925677955150604,False,False,15.0,7.4796546662204,0.0,1.0,0.20910601615905755,1.0,163.13648319393934,0.20910601615905755,1.26661537912488,0.43148886382240315,False,False,16.425024032592773,18.058019638061523,-0.36043569445610046,-10.649083137512207,0.1351904720067978,0.024587050080299377,False,False
67,1.1166666666666667,16.425024032592773,18.058019638061523,-0.36043569445610046,-10.649083137512207,0.1351904720067978,0.024587050080299377,False,False,15.0,7.4796546662204,0.0,1.0,-0.16902653872966766,0.2678845684677363,55.76130950943214,-0.16902653872966766,0.2678845684677363,0.4711686611857988,False,False,16.417442321777344,17.886093139648438,-0.45487141609191895,-10.315576553344727,0.13520494103431702,0.0008655725396238267,False,False
